global_name,local_name,dice_fields,table_roll,class_fields,class_fields_modifiers,usage_modifier,save_generate,use_generate,counters
Основная информация:,,,,,,,,,
,Происхождение:,,,,,,,,
,1,1,"Случайность. Торговый пост появился в результате несчастного случая, например, поломки каравана или ошибочного направления. То, что было создано для устранения последствий аварии, в итоге стало торговым постом.",,,,,,
,,2,"Деловое предприятие. Торговый пост был основан богатым предпринимателем специально для того, чтобы с самого начала быть торговым постом.",,,,,,
,,3,Перекресток. Торговый пост находится на пересечении более чем одного крупного торгового пути.,,,,,,
,,4,"Военный форпост. Торговый пост был построен на остатках старой крепости или сторожевой башни, сооружения которой давно разрушены или перепрофилированы местными жителями.",,,,,,
,,5,"Ничья земля. Торговый пост был создан как нейтральное место, где противоборствующие силы могли бы приобретать товары, не вторгаясь на вражескую территорию.",,,,,,
,,6,"Коренной житель. Торговый пост был основан кем-то из местных жителей, который увидел потенциал в торговле с прохожими.",,,,,,
,,7,"Ночная стоянка. Изначально торговый пост представлял собой один большой дом для ночлега усталых путников, который вскоре вырос вместе со спросом на жилье.",,,,,,
,,8,"Эксперт по дикой природе. Торговый пост возник, когда ловчий, охотник или проводник разбил лагерь, чтобы помочь тем, кто проходил через эту местность.",,,,,,
,Специализация:,,,,,,,,
,0_2_2,1,отличной и уникальной едой.,,,,,,
,,2,многочисленными и разнообразными высококачественными напитками.,,,,,,
,0_6_6,1,грубияны и дебоширы,,,,,,
,,2,плащ и кинжал,,,,,,
,,3,луки и пращи,,,,,,
,,4,писари и клерки,,,,,,
,,5,проводники и следопыты,,,,,,
,,6,караваны и верховые,,,,,,
,,7,академики(адепты) магии,,,,,,
,,8,маги-наёмники,,,,,,
,,9,священнослужители,,,,,,
,,10,руки Бога,,,,,,
,1,1,"Нетипичные способы доставки. Этот торговый пост известен тем, что имеет уникальные и эффективные способы перевозки товаров.",,,,,,
,,2,Еда и напитки. Этот торговый пост известен ,,,,,,
,,3,"Гостеприимство. Главный постоялый двор здесь особенно хорош, предлагая отличное обслуживание, удобные комнаты и хорошую еду.",,,,,,
,,4,"Информация. Этот торговый пост известен как источник достоверной информации. Возможно, они не знают всего, но шансы найти здесь достоверные сплетни, предания, новости или интригующую информацию велики.",,,,,,
,,5,"Закупочные связи. Этот торговый пост известен тем, что здесь есть люди, умеющие находить вещи. Если у них нет (или они не знают) того, что вы ищете, они могут направить вас к кому-нибудь, кто это сделает.",,,,,,
,,6,"Недобросовестные исполнители. Этот торговый пост известен тем, что здесь есть люди, которые могут сделать практически все, что угодно, если цена будет подходящей: ",,,,,,
,Возраст:,,,population_wealth,,,,,
,1,1-3,Новый. Торговый пост был основан в течение последнего года.,,-1,,,,
,,4-8,Недавний. Торговый пост существует по крайней мере несколько лет.,,0,,,,
,,9-13,Устоявшийся. Торговый пост был построен несколько десятилетий назад.,,1,,,,
,,14-17,Старый. Торговый пост был построен около ста лет назад.,,2,,,,
,,18-19,Древний. Торговый пост был построен сотни лет назад.,,3,,,,
,,20,"Неустановленный. Никто точно не знает, когда был основан торговый пост.",,4,,,,
,Состояние:,,,population_wealth,,,,,
,1,1-2,"Ветхое. Несколько зданий выглядят разваливающимися. Официальных дорог нет, только протоптанные тропинки.",,-6,,,,
,,3-6,Бедность. Здания и окрестности неухоженные и грязные. Дороги неровные и пыльные.,,-3,,,,
,,7-14,"Порядочное. Здания чистые и немного украшены. Дороги - выровненная земля, возможно, с гравием.",,0,,,,
,,15-18,"Хорошее. Большинство строений ухожены и умеренно украшены. Дороги вымощены булыжником или, возможно, дешевым кирпичом.",,3,,,,
,,19-20,"Безупречное. Магазины и дома выглядят очень хорошо и украшены со вкусом. Дороги сделаны из прекрасных, гладких, хорошо уложенных камней.",,6,,,,
,Поток посетителей:,,,size_roll;crime,,,,,
,1,1-2,"Безлюдно.Похоже, никто не посещает это место.",,0;2,,,,
,,3-6,"Группы. Посетители - это редкость, но несколько человек могут быть поблизости.",,1;1,,,,
,,7-14,"Многолюдно. Как правило, каждый день можно увидеть несколько новых посетителей.",,2;0,,,,
,,15-18,Толпы. Регулярно появляется много новых лиц.,,3;-1,,,,
,,19-20,"Массы. Новые люди повсюду, постоянно приходят и уходят.",,4;-2,,,,
,Размер:,,,,,size_roll,size,,
,1,1-2,Очень маленький. До 20 отдельных строений.,,,,,,
,,3-6,Маленький. До 40 отдельных строений.,,,,,,
,,7-14,Средний. До 60 отдельных строений.,,,,,,
,,15-18,Большой. До 80 отдельных строений.,,,,,,
,,19-20,Очень большой. До 100 отдельных строений.,,,,,,
,Окружение:,,,,,,,,
,1,1,"Побережье. Торговый пост находится рядом с большим водоемом, таким как озеро или океан.",,,,,,
,,2,Лес. Торговый пост расположен среди деревьев.,,,,,,
,,3,Горы. Торговый пост находится на каменистых перевалах или вздымающихся вершинах.,,,,,,
,,4,"Равнина. Торговый пост находится на широких, открытых полях.",,,,,,
,,5,Река. Торговый пост находится рядом с постоянно текущей рекой или другим водотоком.,,,,,,
,,6,Болото. Торговый пост находится на обширной территории с застойной водой или рядом с ней.,,,,,,
,,7,Подземье. Торговый пост находится внутри большой сети пещер.,,,,,,
,,8,Долина. Торговый пост находится в пределах или на краю территории с пониженной высотой по отношению к окружающему ландшафту.,,,,,,
,,9,Тундра. Торговый пост находится в очень холодной среде.,,,,,,
,,10,"Пустыня. Торговый пост находится в сухой и засушливой местности, вероятно, покрытой огромными песчаными дюнами.",,,,,,
Общество:,,,,,,,,,
,Количество проживающего населения:,,,crime,,,,,
,1,1-2,Почти безлюдно. Много пустых домов и предприятий.,,2,,,,
,,3-6,Малолюдно. Есть несколько пустых домов и предприятий.,,1,,,,
,,7-14,Подходящая. Дома и предприятия комфортно заселены.,,0,,,,
,,15-18,Многолюдно. Движение затруднено. Дома и общие здания часто переполнены.,,-1,,,,
,,19-20,Чрезмерная. Торговый пост не может обслуживать такое количество людей. Передвижение крайне затруднено. На окраинах поселения выросли палаточные городки и хибары.,,-2,,,,
,Демография:,,,,,,,,
,1,1-5,Только одна. 100% основная раса.,,,,,,
,,6-10,"Только две. 60% основной расы, 40% вторичной расы.",,,,,,
,,11-14,"Нормальное распределение. 50% первичная раса, 25% вторичная раса, 15% третичная раса, 10% другие.",,,,,,
,,15-17,Широкое распределение. 20% первичной расы. Все остальные представлены достаточно хорошо.,,,,,,
,,18-19,"Высокий и низкий уровень. 80% первичной расы, 20% вторичной расы.",,,,,,
,,20,Постоянно меняющаяся. Нет четкого распределения. Расовое представительство лишено ощущения численного доминирования.,,,,,,
,Отношение:,,,,,,,,
,1,1-2,"Враждебность. Местные жители выглядят очень недружелюбно по отношению к приезжим и, скорее всего, заставят чужаков чувствовать себя нежеланными гостями. Это может проявлятьсякак холодность, пассивная агрессивность или даже насилие.",,,,,,
,,3-6,"Недружелюбие. Местные жители не слишком дорожат приезжими, смотрят на них с презрением, страхом или подозрением.",,,,,,
,,7-14,"Нейтральность. Местные жители замкнуты или, возможно, неприветливы внешне, но могут быть дружелюбными, если вы узнаете их получше.",,,,,,
,,15-18,"Дружелюбие. Местные жители в целом дружелюбны, приветливы и не спешат обижаться.",,,,,,
,,19-20,"Радушие. Местные жители активно радуются гостям, и их культура это демонстрирует. Здесь рады практически всем.",,,,,,
,Правопорядок:,,,crime,,,,,
,1,1-2,"Отсутствует. Это может быть хорошо или плохо, в зависимости от точки зрения. Хорошо, если народ здесь просто таков. Плохо, когда самосуд вершится над мелким воришкой.",,-8,,,,
,,3-6,Шериф.Один шериф и его помощник поддерживают мирную жизнь,,-4,,,,
,,7-14,"Небольшой местный дозор. Шериф, помощник шерифа и горстка жителей-добровольцев составляют символический дозор.",,0,,,,
,,15-18,Хорошо экипированный дозор.Правоохранительные органы распространены.,,4,,,,
,,19-20,Чрезмерное присутствие.Правоохранительные органы всегда рядом.,,8,,,,
,Руководство:,,,,,,,,
,0_11_13,1,купцы (плутократия),,,,,,
,,2,маги (магократия),,,,,,
,,3,жрецы(теократия),,,,,,
,,4,другая небольшая группа.,,,,,,
,1,1,"Нет лидера. Торговый пост работает без руководства, что может привести к возникновению неразрешимых споров.",,,,,,
,,2-4,Наследничество. Неизбираемый лидер находится у власти в силу своей родословной.,,,,,,
,,5-7,Купеческая монархия. Самый богатый владелец магазина в торговом пункте возглавляет его по умолчанию.,,,,,,
,,8-10,"Преступный мир или преступное предприятие. Преступник или группа преступников, публично или частным образом, контролирует торговый пост.",,,,,,
,,11-13,Олигархия. Несколько человек коллективно управляют торговым постом,,,,,,
,,14-16,Местный совет. Выдающиеся члены общины выбирались для коллективного руководства торговым пунктом.,,,,,,
,,17-19,Избранный лидер. Местные жители демократическим путем голосовали за своего нынешнего лидера.,,,,,,
,,20,Анархо-синдикалистская коммуна. Члены торгового поста по очереди выполняют роль своего рода исполнительного директора в течение недели.,,,,,,
,Богатство населения:,,,crime;quality,,population_wealth,,,
,1,1-2,Обездоленность. Большинству населения постоянно не хватает самого необходимого для выживания.,,-4;-2,,,,
,,3-6,Нищенство.Около половины населения с трудом сводит концы с концами.,,-2;-1,,,,
,,7-14,Средний достаток. Большинству населения хватает на скромную жизнь.,,0;0,,,,
,,15-17,"Процветание. Большинство населения имеет достаточно средств для хорошей жизни, а некоторые из них даже могут жить безбедно.",,-1;0,,,,
,,18-19,"Богатство.Почти у всех есть все необходимое для комфортной жизни, многие могут жить хорошо, а некоторые очень процветают.",,-2;2,,,,
,,20,"Достаток.Почти все могут жить комфортно, значительная часть живет в роскоши.",,-4;3,,,,
,Преступность:,,,urban_encounter,,crime,,,
,1,1-2,"Регулярная. Улицы кишат преступниками, и не пристегнутая сумочка почти наверняка будет украдена.",,4,,,,
,,3-6,"Распространенная. Большинство привыкло слышать о неприятностях каждый день или два. Каждый знает кого-то, кто стал жертвой преступления.",,3,,,,
,,7-14,Обычная. Время от времени случаются кражи или легкое насилие. Лучше всего быть начеку.,,2,,,,
,,15-18,"Нечастая. Некоторые на торговом посту сталкивались с карманниками или слышали об ограблении, и когда это происходит, это событие привлекает внимание.",,1,,,,
,,19-20,"Редкая. Большинство жителей торгового поста лично не сталкивались с преступностью и знают лишь немногих людей, которые сталкивались.",,0,,,,
Точки интереса:,,,,,,,,,
,Описание качества магазинов/услуг:,,,,,,,,
,1,1,"Плохое. Место представляет собой некачественную версию того, что обычно ожидается. Его предложения, скорее всего, ограничены или плохого качества. Само место может быть в запущенном состоянии, грязным или иметь ряд других проблем.
Нормальное. Место представляет собой стандартный вариант того, что обычно ожидается. Его предложения, скорее всего, не ужасны, но часто и не особенно примечательны (хотя иногда могут быть и исключения). Само место, скорее всего, находится в исправном состоянии, хотя, вероятно, не безупречно.
Отличное. Место представляет собой исключительную версию того, что обычно ожидается. Его предложения, вероятно, разнообразны или превосходят по качеству. Само место, вероятно, примечательно в каком-то смысле (или, возможно, во многих), например, очень чистое или добротно построенное.",,,,,,
,Типы магазинов в торговом посте:,,,,,,,,
,1,1,"
Типы магазинов в торговом посте:
Основные(О): простые магазины, которые выполняют основные функции, необходимые в поселении.
Специализированные(C): Магазины, торгующие товарами определенной категории.
Экзотические(Э): магазины, торгующие редкими или очень необычными товарами.

",,,,,,
,Количество магазинов:,,6;size,shops,,,,size,
,Магазины:,,,,,,,,shops
,0_1_100,1-4,Плохое,,,quality,,,
,,5-10,Нормальное,,,,,,
,,11-12,Отличное,,,,,,
,1,1-4,"Булочная (О).Печет и продает свежий хлеб и, возможно, выпечку.",,,,,,
,,5-8,Мясная лавка (О).Перерабатывает и продает свежее и/или сушеное мясо.,,,,,,
,,9-12,"Бондарь (О). Изготавливает деревянные сосуды, скрепленные металлическими обручами, включая бочки, ведра и т.д.",,,,,,
,,13-16,"Плотник (О). Строит или вырезает из дерева, а также занимается ремонтом.",,,,,,
,,17-24,"Обычный магазин (О).Продаёт предметы первой необходимости, продукты питания и различные мелочи.",,,,,,
,,25-28,"Травник (О). Продает обычные травы и натуральные, не магические лекарства.",,,,,,
,,29-36,"Кузня (О).Продает и изготавливает металлические инструменты и снаряжение, включая самое необходимое оружие и доспехи.",,,,,,
,,37-40,"Портной (О). Изготавливает и продает одежду, включая шляпы и плащи. Также продает предметы общего назначения из ткани, например, одеяла, и осуществляет ремонт и переделку изделий из ткани.",,,,,,
,,41-44,Кожевник/таксидермист (О). Обрабатывает шкуры животных для практических или декоративных целей.,,,,,,
,,45-48,"Кровельщик (О). Строит крыши, используя слои высушенной соломы, тростника, камыша и т.д.",,,,,,
,,49-52,Каретных дел мастер (О). Изготавливает телеги и повозки.,,,,,,
,,53-56,Ткач (О).Плетёт необработанную ткань и корзины.,,,,,,
,,57-59,"Алхимик (С). Варит и продает зелья, а также обычные травы и алхимические ингредиенты.",,,,,,
,,60-62,"Художник (С). Включает в себя художника, скульптора и другие виды изобразительного искусства.",,,,,,
,,63-65,"Банк и биржа (С).Охватывает аукционы, банковское дело, специфическую продажу драгоценных камней или обмен валюты.",,,,,,
,,66-68,Сапожник (С).Делает и чинит сапоги и ботинки.,,,,,,
,,69-71,Литейное дело/плавильня (С). Обработка руды и изготовление металла.,,,,,,
,,72-74,Мельница (С).Предприятия по помолу зерна.,,,,,,
,,75-77,"Текстильное производство (С). Масштабнее, чем у одного ткача, предлагает более широкий ассортимент материалов в больших количествах.",,,,,,
,,78-80,"Корабельщик (С). Строит и спускает на воду лодки и/или корабли. [Перебросить, если поселение не граничит со значительным источником воды].",,,,,,
,,81-82,Редкие травы (Э). Выращивает и продает редкие для региона травы.,,,,,,
,,83-84,"Предметы роскоши (Э). Закупает и продает всевозможные предметы для дома, включая мебель, предметы искусства и другие высококачественные товары",,,,,,
,,85-86,"Редкие напитки и блюда (Э).Продает (и, возможно, делает или варит) напитки и/или еду превосходного качества или редкости для региона.",,,,,,
,,87-88,"Редкие товары для торговли (Э). Закупает и продает редкие для региона предметы и материалы, такие как руда или текстиль.",,,,,,
