global_name,local_name,dice_fields,table_roll,class_fields,class_fields_modifiers,usage_modifier,save_generate,use_generate,counters
Основная информация:,,,,,,,,,
,Возраст:,,,population_density;hardship_likelihood,,,,,
,1,1-5,"Новый. Деревня была основана в прошлом году. Те, кто в деревне, недавно поселились.",,-5;-4,,,,
,,6-10,"Недавний. Деревня заселена несколько лет назад. Они смогли успешно обеспечить себя, и семьи начали расти.",,-2;-2,,,,
,,10-14,"Устоявшийся. Деревня существует около десяти лет или около того. Производство было отточено, а методы оптимизированы. Дети, рожденные в поселении, могут быть достаточно взрослыми, чтобы начать помогать",,0;0,,,,
,,15-18,"Старый. Деревня была основана несколько десятков лет назад. Производство достигло пика производительности, и старшие члены сообщества стали опытными работниками. В деревне много взрослых, которые там родились.",,0;2,,,,
,,19-20,Древний. Деревня была основана около или более века назад.,,0;4,,,,
,Возникшие трудности:,,,worships,,,,,
,1,1-2,"Никаких трудностей. Деревне повезло, и до сих пор ее ничего не беспокоило.",,0,,,,
,,3-6,Одна трудность. Деревня пережила один заметный трудный период,,1,,,,
,,7-14,Две трудности. Деревня пережила несколько испытаний.,,2,,,,
,,15-18,Три трудности. Деревня пережила три трудные ситуации,,3,,,,
,,19-20,Четыре трудности. Деревня пережила четыре тяжелых испытания.,,4,,,,
,Виды трудностей:,,,,,,,,worships
,0_1_8,1,"Катастрофические потери. Потери деревни были жестокими, и оправиться от них было мучительно трудно или даже невозможно.&-5",,,,,,
,,2,"Ужасные потери. Потери деревни были сокрушительны, и оправиться от них невероятно трудно.&-4",,,,,,
,,3,"Тяжелые потери. Потери деревни были ужасны, и восстановление оказывается трудным.&-3",,,,,,
,,4,"Умеренные потери. Потери деревни были тяжелыми, но восстановление вероятно, хотя и может быть трудным.&-2",,,,,,
,,5,"Минимальные потери. Потери деревни были минимальными, на которые можно было надеяться, и восстановление должно было быть вполне возможным или даже неизбежным.&-1",,,,,,
,1,1,Чума. Община стала жертвой болезни.&population_density,,,,,,
,,2,Бандиты на дороге. По дороге на рынок или с рынка на деревенский караван напали бандиты.&population_wealth,,,,,,
,,3,Рейд. На деревню напали мародеры.&size;population_wealth;population_density,,,,,,
,,4,"Голод/нехватка продовольствия. Если деревня нормально производит какую-то еду, то не производила. Если они обычно покупают еду на рынке, какое-то время у них были трудности с этим.&population_density",,,,,,
,,5,Суровая погода. Регион был охвачен гневом природы.&condition;size,,,,,,
,,6,"Межобщинный конфликт/насилие. Вспыхнул конфликт между членами общины, который расколол деревню с тяжелыми последствиями.&density;disposition",,,,,,
,,7,Потеря лидера сообщества. Ключевой член сообщества умер или пропал без вести.&disposition,,,,,,
,,8,"Жертва войны. Деревня была поражена разрушительными последствиями войны (проходящие или собирающие пищу армии, сопутствующие боевые повреждения, болезни из-за связанных с войной проблем, таких как лагерная гигиена или болезни от трупов).&condition;size;population_density",,,,,,
,Размер:,,,,,size,size_roll,,
,1,1-2,Очень маленький. До дюжины стоящих конструкций.,,,,,,
,,3-6,Маленький. До 30 стоящих структур.,,,,,,
,,7-14,Cредний. До 60 стоящих структур.,,,,,,
,,15-18,Большой. До 90 стоящих структур.,,,,,,
,,19-20,Очень большой. До 120 стоящих структур.,,,,,,
,Состояние:,,,population_wealth,,condition,,,
,1,1-2,"Разрушен. Деревня маленькая, сплошь развалины и развалины, может быть, за редким исключением. Это могло быть результатом войны, набега, землетрясения или бури.",,-6,,,,
,,3-6,Ветхий. Деревня находится в аварийном состоянии. Некоторые здания могут разрушаться или быть построены некачественно. Чистота не является приоритетом.,,-3,,,,
,,7-14,"Простой. Большинство зданий организованы и кажутся достаточно прочными, хотя в них нет ничего примечательного. Улицы достаточно чистые, чтобы по ним можно было двигаться, но могут быть неровными и разбитыми.",,0,,,,
,,15-18,"Сытно. Здесь все выглядит хорошо сложенным и крепким. Деревня, кажется, заботится о чистоте и содержании поселения. Дороги и тропинки ухожены и выровнены.",,3,,,,
,,19-20,"Безупречный. Деревня очень хорошо организована, и явно предпринимаются согласованные усилия, чтобы поддерживать деревню в наилучшей форме. Чистота является приоритетом, как и техническое обслуживание. Дороги и тропинки чистые и с ровным покрытием.",,6,,,,
,Окружение:,,,,,,,,
,1,1,"Прибрежный. Деревня находится рядом с большим водоемом, например, озером или океаном.",,,,,,
,,2,Лес. Деревня расположена среди деревьев.,,,,,,
,,3,Горы. Деревня находится на каменистых перевалах или высоких вершинах.,,,,,,
,,4,Равнины. Деревня находится в широких полях,,,,,,
,,5,Река. Деревня находится рядом с постоянно текущим ручьем или другим водотоком.,,,,,,
,,6,Болото. Деревня находится на обширной территории со стоячей водой или рядом с ней.,,,,,,
,,7,Под землей. Деревня находится в большой сети пещер.,,,,,,
,,8,Долина. Деревня находится внутри или на краю области углубленного возвышения по отношению к окружающему ландшафту.,,,,,,
,,9,Тундра. Деревня находится в очень холодном климате,,,,,,
,,10,"Пустыня. Деревня находится в сухой и засушливой местности, вероятно, покрытой огромными песчаными дюнами.",,,,,,
,Специализация:,,,,,,,,
,1,1,Отсутствует. Деревня ничем не примечательна или малоизвестна какой-либо конкретной вещью.,,,,,,
